Station,Latitude,Longitude,Source,geometry,Region
325,38.03,-122.3717,Bay Study,"c(555140.850638414, 4209329.85540853)",Bay
326,38.040333333333336,-122.2855,Bay Study,"c(562697.21292038, 4210531.00611765)",Far West
327,38.04772222201029,-122.36672222222305,20mm,"c(555564.321783485, 4211299.17818588)",NA
328,38.06027777777778,-122.35,20mm,"c(557021.8164356, 4212702.40501153)",NA
329,38.06361111111111,-122.30399999989403,20mm,"c(561054.483080237, 4213101.47909346)",Far West
330,38.0285277779897,-122.32816666709051,20mm,"c(558962.643340971, 4209193.21245102)",NA
331,38.06361111111111,-122.30399999989403,20mm,"c(561054.483080237, 4213101.47909346)",Far West
334,38.07638888888889,-122.33799999978807,20mm,"c(558061.802197253, 4214497.44687247)",NA
335,38.071111111111115,-122.32399999989403,20mm,"c(559293.969813545, 4213920.69164633)",Far West
336,38.06111111111111,-122.27799999978807,20mm,"c(563337.437860871, 4212841.49230393)",Far West
338,38.060027777353916,-122.2489166662428,20mm,"c(565889.77901914, 4212741.5116034)",Far West
340,38.09922222243415,-122.26327777756585,20mm,"c(564595.424535801, 4217080.27794436)",Far West
341,38.127249999576144,-122.27877777735392,20mm,"c(563212.212176004, 4220179.46776359)",Far West
342,38.14625,-122.28875,20mm,"c(562322.014329875, 4222280.89922631)",Far West
343,38.182361111111106,-122.30927777820163,20mm,"c(560493.434181177, 4226274.09039237)",Far West
344,38.21269444465638,-122.30869444423251,20mm,"c(560519.410183086, 4229640.18937522)",Far West
345,37.9975,-122.4242,Bay Study,"c(550555.625780335, 4205694.03169051)",Bay
346,38.0555,-122.3,Bay Study,"c(561412.153791667, 4212204.14467707)",Far West
347,38.25361111111111,-122.28469444447093,20mm,"c(562585.404176154, 4234196.19734063)",Far West
348,38.27436111132304,-122.28352777777447,20mm,"c(562669.651682393, 4236499.38882804)",Far West
349,38.28633333338632,-122.28436111112435,20mm,"c(562586.47960653, 4237827.2553446)",Far West
401,38.0575833331214,-122.21244444423252,20mm,"c(569091.699075445, 4212496.77350232)",Far West
404,38.04644444465637,-122.17886111153497,20mm,"c(572048.907802223, 4211286.34803826)",Far West
405,38.03991666687859,-122.14672222243415,20mm,"c(574875.556783951, 4210587.44974504)",Far West
411,38.05022222222553,-122.07652777777777,20mm,"c(581023.920517897, 4211789.77450991)",Far West
418,38.0675,-122.09555555555555,20mm,"c(579335.763548646, 4213690.4414416)",Far West
427,38.0355,-122.1522,Bay Study,"c(574399.338901983, 4210092.99779498)",Far West
428,38.062,-122.1053,Bay Study,"c(578486.862540473, 4213071.90467286)",Far West
