year,mm-dd,location,parameter,unit,datatype,value
Avg15-24,24-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.299
Avg15-24,25-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.408
Avg15-24,26-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.554
Avg15-24,27-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.7
Avg15-24,28-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.847
Avg15-24,29-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,50.972
Avg15-24,30-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,51.088
Avg15-24,31-Jan,ANH,10YrAvg wtemp,F,WaterTempAvg,51.201
Avg15-24,1-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.191
Avg15-24,2-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.171
Avg15-24,3-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.19
Avg15-24,4-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.205
Avg15-24,5-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.324
Avg15-24,6-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.487
Avg15-24,7-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.684
Avg15-24,8-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,51.925
Avg15-24,9-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.1
Avg15-24,10-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.247
Avg15-24,11-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.302
Avg15-24,12-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.363
Avg15-24,13-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.516
Avg15-24,14-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.674
Avg15-24,15-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.749
Avg15-24,16-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.842
Avg15-24,17-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.918
Avg15-24,18-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.005
Avg15-24,19-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.065
Avg15-24,20-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.158
Avg15-24,21-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.243
Avg15-24,22-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.179
Avg15-24,23-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.95
Avg15-24,24-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,52.968
Avg15-24,25-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.144
Avg15-24,26-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.314
Avg15-24,27-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.413
Avg15-24,28-Feb,ANH,10YrAvg wtemp,F,WaterTempAvg,53.568
Avg15-24,Feb-29,ANH,10YrAvg wtemp,F,WaterTempAvg,56.917
Avg15-24,1-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,53.744
Avg15-24,2-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,53.788
Avg15-24,3-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,53.968
Avg15-24,4-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,54.109
Avg15-24,5-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,54.234
Avg15-24,6-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,54.351
Avg15-24,7-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,54.48
Avg15-24,8-Mar,ANH,10YrAvg wtemp,F,WaterTempAvg,54.589
